1, 5, 0, 0
2, 5, 0, 0
3, 5, 0, 0
4, 5, 0, 0
5, 5, 0, 0
5, 5, 0, 1
6, 5, 0, 1
7, 5, 0, 1
8, 5, 0, 1
8, 5, 1, 1
9, 5, 1, 1
10, 5, 1, 1
11, 5, 1, 1
12, 5, 1, 1
23, 4, 1, 1
24, 4, 1, 1
25, 4, 1, 1
26, 4, 1, 1
37, 3, 1, 1
48, 2, 1, 1
49, 2, 1, 1
50, 2, 1, 1
51, 2, 1, 1
52, 2, 1, 1
53, 2, 1, 1
54, 2, 1, 1
55, 2, 1, 1
56, 2, 1, 1
57, 2, 1, 1
58, 2, 1, 1
59, 2, 1, 1
60, 2, 1, 1
61, 2, 1, 1
62, 2, 1, 1
63, 2, 1, 1
64, 2, 1, 1
65, 2, 1, 1
1, 8, 0, 0
2, 8, 0, 0
3, 8, 0, 0
4, 8, 0, 0
5, 8, 0, 0
6, 8, 0, 0
7, 8, 0, 0
7, 8, 1, 0
8, 8, 1, 0
9, 8, 1, 0
20, 7, 1, 0
21, 7, 1, 0
22, 7, 1, 0
23, 7, 1, 0
34, 6, 1, 0
35, 6, 1, 0
36, 6, 1, 0
37, 6, 1, 0
47, 5, 1, 1
48, 5, 1, 1
49, 5, 1, 1
50, 5, 1, 1
51, 5, 1, 1
52, 5, 1, 1
53, 5, 1, 1
54, 5, 1, 1
55, 5, 1, 1
56, 5, 1, 1
56, 5, 1, 1
57, 5, 1, 1
58, 5, 1, 1
59, 5, 1, 1
60, 5, 1, 1
61, 5, 1, 1
72, 4, 1, 1
73, 4, 1, 1
74, 4, 1, 1
75, 4, 1, 1
76, 4, 1, 1
77, 4, 1, 1
78, 4, 1, 1
79, 4, 1, 1
80, 4, 1, 1
81, 4, 1, 1
82, 4, 1, 1
83, 4, 1, 1
84, 4, 1, 1
95, 4, 1, 1
96, 4, 1, 1
97, 4, 1, 1
98, 4, 1, 1
99, 4, 1, 1
100, 4, 1, 1
141, 0, 1, 1
142, 0, 1, 1
143, 0, 1, 1
144, 0, 1, 1
145, 0, 1, 1
146, 0, 1, 1
147, 0, 1, 1
148, 0, 1, 1
